Rank,Country,Year,Gold,Silver,Bronze,Total Medals
1,USA,2000,40,24,33,97
2,Russian Federation,2000,32,28,28,88
3,China,2000,28,16,15,59
4,Australia,2000,16,25,17,58
5,Germany,2000,13,17,26,56
6,France,2000,13,14,11,38
7,Italy,2000,13,8,13,34
8,Netherlands,2000,12,9,4,25
9,Cuba,2000,11,11,7,29
10,Great Britain,2000,11,10,7,28
1,United States,2004,36,39,26,101
2,China,2004,32,17,14,63
3,Russia,2004,28,26,36,90
4,Australia,2004,17,16,17,50
5,Japan,2004,16,9,12,37
6,Germany,2004,13,16,20,49
7,France,2004,11,9,13,33
8,Italy,2004,10,11,11,32
9,South Korea,2004,9,12,9,30
10,Great Britain,2004,9,9,12,30
1,China,2008,51,21,28,100
2,USA,2008,36,38,36,110
3,Russia,2008,23,21,29,73
4,Great Britain,2008,19,13,15,47
5,Germany,2008,16,10,15,41
6,Australia,2008,14,15,17,46
7,South Korea,2008,13,10,8,31
8,Japan,2008,9,6,10,25
9,Italy,2008,8,9,10,27
10,France,2008,7,16,18,41
1,USA,2012,48,26,30,104
2,China,2012,39,31,22,92
3,Great Britain,2012,29,18,18,65
4,Russia,2012,18,21,27,66
5,South Korea,2012,13,9,8,30
6,Germany,2012,11,20,13,44
7,France,2012,11,11,13,35
8,Australia,2012,8,15,12,35
9,Italy,2012,8,9,11,28
10,Hungary,2012,8,4,6,18
1,USA,2016,46,37,38,121
2,Great Britain,2016,27,23,17,67
3,China,2016,26,18,26,70
4,Russia,2016,19,18,19,56
5,Germany,2016,17,10,15,42
6,Japan,2016,12,8,21,41
7,France,2016,10,18,14,42
8,South Korea,2016,9,3,9,21
9,Italy,2016,8,12,8,28
10,Australia,2016,8,11,10,29
1,United States,2021,39,41,33,113
2,China,2021,38,32,18,88
3,Japan,2021,27,14,17,58
4,Great Britain,2021,22,20,22,64
5,Russia (ROC),2021,20,28,23,71
6,Australia,2021,17,7,22,46
7,Netherlands,2021,10,12,14,36
8,France,2021,10,12,11,33
9,Germany,2021,10,11,16,37
10,Italy,2021,10,10,20,40
1,USA,2024,40,44,42,126
2,China,2024,40,27,24,91
3,Japan,2024,20,12,13,45
4,Australia,2024,18,19,16,53
5,France,2024,16,26,22,64
6,Netherlands,2024,15,7,12,34
7,Great Britain,2024,14,22,29,65
8,South Korea,2024,13,9,10,32
9,Italy,2024,12,13,15,40
10,Germany,2024,12,13,8,33
